City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,metlili chaamba,32.2667,3.6333,29.52,17,0,0.0,DZ,1691132645
159,mwinilunga,-11.7358,24.4293,18.3,41,0,4.91,ZM,1691132645
160,bonnyville,54.2668,-110.735,13.89,80,0,3.81,CA,1691132421
161,alo,7.4178,6.7371,23.7,94,100,1.57,NG,1691132646
162,tazovsky,67.4667,78.7,21.05,52,9,1.94,RU,1691132076
163,selfoss,63.9331,-20.9971,8.36,89,96,2.29,IS,1691132646
164,afaahiti,-17.75,-149.2833,23.93,76,100,4.84,PF,1691132076
165,uttarkashi,30.7333,78.45,28.93,73,100,2.12,IN,1691132648
166,bankim,6.083,11.4905,19.81,97,100,0.44,CM,1691132649
167,juan griego,11.0817,-63.9655,26.21,86,3,3.72,VE,1691132649
168,sur,22.5667,59.5289,36.68,44,24,1.2,OM,1691132084
169,avarua,-21.2078,-159.775,22.03,83,75,3.6,CK,1691132650
170,salinopolis,-0.6136,-47.3561,25.69,86,9,3.21,BR,1691132650
171,yamada,39.4667,141.95,31.3,59,1,3.19,JP,1691132651
172,azul,-36.777,-59.8585,3.98,51,0,2.72,AR,1691132409
173,petropavlovsk-kamchatsky,53.0452,158.6483,19.33,60,75,2.0,RU,1691132088
174,n'zeto,-7.2312,12.8666,21.08,84,85,4.32,AO,1691132652
175,sisimiut,66.9395,-53.6735,5.61,89,84,0.9,GL,1691132196
176,margate,51.3813,1.3862,16.28,86,100,2.24,GB,1691132060
177,west island,-12.1568,96.8225,26.99,78,75,7.72,CC,1691132653
178,sola,-13.8833,167.55,23.37,88,100,5.14,VU,1691132092
179,kavaratti,10.5669,72.642,28.27,80,15,7.39,IN,1691132655
180,progreso,21.2833,-89.6667,26.06,86,100,1.94,MX,1691132655
181,lodja,-3.4833,23.4333,28.26,38,74,1.18,CD,1691132655
182,olyokminsk,60.3736,120.4264,28.44,25,8,4.67,RU,1691132209
183,al bawiti,28.3492,28.8659,31.45,23,0,2.65,EG,1691132656
184,barcelos,41.5388,-8.6151,16.62,72,0,2.63,PT,1691132553
185,saudarkrokur,65.7461,-19.6394,11.01,66,100,0.62,IS,1691132132
186,port mathurin,-19.6833,63.4167,23.22,74,41,10.35,MU,1691132066
187,wayne,42.2506,-83.2833,23.01,91,100,0.0,US,1691132657
188,ancud,-41.8697,-73.8203,5.08,84,72,2.03,CL,1691132143
189,mao,39.8885,4.2658,22.31,73,40,8.75,ES,1691132658
190,gizo,-8.103,156.8419,26.32,86,100,9.45,SB,1691132213
191,paranagua,-25.52,-48.5092,16.33,90,56,0.86,BR,1691132431
192,kundiawa,-6.0167,144.9667,19.53,95,83,1.15,PG,1691132660
193,al mutayrifi,25.4788,49.5576,43.19,7,0,8.76,SA,1691132539
194,ratnagiri,16.9833,73.3,27.8,81,100,7.24,IN,1691132661
195,altoona,40.5187,-78.3947,20.14,99,80,1.41,US,1691132661
196,illizi,26.4833,8.4667,30.89,12,0,7.29,DZ,1691132545
197,chum phae,16.5443,102.0992,26.53,83,100,1.73,TH,1691132662
198,la ronge,55.1001,-105.2842,19.14,88,20,3.6,CA,1691132167
199,egilsstadir,65.2653,-14.3948,6.95,87,75,1.03,IS,1691132663
200,tura,25.5198,90.2201,28.49,81,100,2.42,IN,1691132663
201,kuala tungkal,-0.8167,103.4667,28.63,81,100,3.11,ID,1691132664
202,flying fish cove,-10.4217,105.6791,25.82,88,100,6.69,CX,1691132244
203,lerwick,60.1545,-1.1494,11.0,74,100,7.42,GB,1691132664
204,iquitos,-3.7481,-73.2472,24.02,94,40,2.57,PE,1691132474
205,kabalo,-6.05,26.9167,26.87,36,16,5.23,CD,1691132665
206,zelenoborskiy,66.845,32.3622,13.54,97,100,3.81,RU,1691132666
207,timmins,48.4669,-81.3331,15.9,94,75,3.6,CA,1691132422
208,siwa oasis,29.2041,25.5195,33.8,22,0,4.46,EG,1691132666
209,bandarbeyla,9.4942,50.8122,31.04,43,100,15.41,SO,1691132198
210,bure,10.7,37.0667,18.19,84,87,1.59,ET,1691132667
211,kourou,5.1552,-52.6478,24.03,91,14,2.69,GF,1691132266
212,remire-montjoly,4.9167,-52.2667,24.02,94,0,0.0,GF,1691132668
213,gadani,25.1185,66.7299,30.12,74,97,6.14,PK,1691132668
214,keflavik,64.0049,-22.5624,10.24,93,75,4.12,IS,1691132669
215,tamanrasset,22.785,5.5228,24.95,27,0,2.06,DZ,1691132545
216,piacabucu,-10.4056,-36.4344,24.03,60,94,3.1,BR,1691132669
217,kalyazin,57.2403,37.8433,23.97,77,19,4.68,RU,1691132670
